testcase,script,ok_runs,mean_s,median_s,min_s,max_s,stdev_s
data_size_10.txt,local_greedy.py,5,1.8891384599998673,1.8890378999999484,1.8886278999998467,1.8900951999999052,0.0005073834786915339
data_size_10.txt,multi_greedy.py,5,0.056164579999949636,0.055378099999870756,0.05513759999985268,0.0577886999999464,0.0011517144739030343
data_size_100.txt,local_greedy.py,5,1.8911473599999227,1.890343799999755,1.8898372999997264,1.8933812000000216,0.0013256527820283684
data_size_100.txt,multi_greedy.py,5,0.7550852000000304,0.7507602999999108,0.7417884999999842,0.7706146000000444,0.011390671426086811
data_size_11.txt,local_greedy.py,5,1.889500019999923,1.8892593999999008,1.8870757999998204,1.8918672999998307,0.0019749245174693238
data_size_11.txt,multi_greedy.py,5,0.058763180000005376,0.05875640000022031,0.056637399999999616,0.06184880000000703,0.0018352217113133391
data_size_12.txt,local_greedy.py,5,1.889722559999973,1.8888348999998925,1.8869852000002538,1.8939086999998835,0.0025555802844095536
data_size_12.txt,multi_greedy.py,5,0.05423135999999431,0.05509840000013355,0.052147400000194466,0.055846199999905366,0.0015376419226152474
data_size_13.txt,local_greedy.py,5,1.8895978800000193,1.889111800000137,1.8872206999999435,1.8940225999999711,0.0024674399229493065
data_size_13.txt,multi_greedy.py,5,0.06125176000005013,0.06004510000002483,0.0582048000001123,0.06700689999979659,0.003067551504658083
data_size_14.txt,local_greedy.py,5,1.892374099999961,1.8898219000002427,1.8872938999998041,1.9043768999999884,0.00614772717841326
data_size_14.txt,multi_greedy.py,5,0.061284640000030775,0.06019890000015948,0.05944610000005923,0.06386179999981323,0.001699339930104206
data_size_15.txt,local_greedy.py,5,1.8894332799999574,1.8876768000000084,1.8870167000000038,1.8928072999997312,0.0026708667501133235
data_size_15.txt,multi_greedy.py,5,0.06702574000000823,0.06590079999978116,0.06399510000028386,0.07282739999982368,0.0032356944673462592
data_size_20.txt,local_greedy.py,5,1.8899808400000437,1.8886712999997144,1.887298600000122,1.8942018000002463,0.0025654730984786766
data_size_20.txt,multi_greedy.py,5,0.07041545999991286,0.06984579999971174,0.06913779999968028,0.07323809999979858,0.0014929198713775338
data_size_25.txt,local_greedy.py,5,1.8902232400000685,1.8885635000001457,1.887631500000225,1.895085999999992,0.0027831757950442892
data_size_25.txt,multi_greedy.py,5,0.09467667999997502,0.08832859999984066,0.08512100000007194,0.11228209999990213,0.010097115439045672
data_size_50.txt,local_greedy.py,5,1.890983640000104,1.8902537000003576,1.8895972000000256,1.893730400000095,0.001471366755894348
data_size_50.txt,multi_greedy.py,5,0.21820649999999658,0.21730440000010276,0.212339300000167,0.22560169999997015,0.004747797954839674
data_size_80.txt,local_greedy.py,5,1.8892419199998585,1.8889677000001939,1.888835299999755,1.8902055999997174,0.0005008902330085745
data_size_80.txt,multi_greedy.py,5,0.49277713999999834,0.4909542999998848,0.48230100000000675,0.5011769999996432,0.007134097370870289
data_size_9.txt,local_greedy.py,5,1.8977867999999944,1.8922154999995655,1.8896763000002466,1.9198326999999153,0.011199525291317229
data_size_9.txt,multi_greedy.py,5,0.05215831999994407,0.048859799999718234,0.04756489999999758,0.062443700000130775,0.005642763798549616
