testcase,script,rep,returncode,runtime_seconds,wall_seconds,parsed_seconds,stdout_log,stderr_log
data_size_12.txt,multi_greedy.py,1,0,0.052147400000194466,0.052147400000194466,,logs\data_size_12__multi_greedy__rep1.out.txt,logs\data_size_12__multi_greedy__rep1.err.txt
data_size_12.txt,multi_greedy.py,2,0,0.05261109999992186,0.05261109999992186,,logs\data_size_12__multi_greedy__rep2.out.txt,logs\data_size_12__multi_greedy__rep2.err.txt
data_size_12.txt,multi_greedy.py,3,0,0.05509840000013355,0.05509840000013355,,logs\data_size_12__multi_greedy__rep3.out.txt,logs\data_size_12__multi_greedy__rep3.err.txt
data_size_12.txt,multi_greedy.py,4,0,0.05545369999981631,0.05545369999981631,,logs\data_size_12__multi_greedy__rep4.out.txt,logs\data_size_12__multi_greedy__rep4.err.txt
data_size_12.txt,multi_greedy.py,5,0,0.055846199999905366,0.055846199999905366,,logs\data_size_12__multi_greedy__rep5.out.txt,logs\data_size_12__multi_greedy__rep5.err.txt
data_size_13.txt,local_greedy.py,1,0,1.889111800000137,1.889111800000137,,logs\data_size_13__local_greedy__rep1.out.txt,logs\data_size_13__local_greedy__rep1.err.txt
data_size_13.txt,local_greedy.py,2,0,1.8872206999999435,1.8872206999999435,,logs\data_size_13__local_greedy__rep2.out.txt,logs\data_size_13__local_greedy__rep2.err.txt
data_size_13.txt,local_greedy.py,3,0,1.887446600000203,1.887446600000203,,logs\data_size_13__local_greedy__rep3.out.txt,logs\data_size_13__local_greedy__rep3.err.txt
data_size_13.txt,local_greedy.py,4,0,1.8940225999999711,1.8940225999999711,,logs\data_size_13__local_greedy__rep4.out.txt,logs\data_size_13__local_greedy__rep4.err.txt
data_size_13.txt,local_greedy.py,5,0,1.8901876999998422,1.8901876999998422,,logs\data_size_13__local_greedy__rep5.out.txt,logs\data_size_13__local_greedy__rep5.err.txt
data_size_13.txt,multi_greedy.py,1,0,0.06700689999979659,0.06700689999979659,,logs\data_size_13__multi_greedy__rep1.out.txt,logs\data_size_13__multi_greedy__rep1.err.txt
data_size_13.txt,multi_greedy.py,2,0,0.061516000000210624,0.061516000000210624,,logs\data_size_13__multi_greedy__rep2.out.txt,logs\data_size_13__multi_greedy__rep2.err.txt
data_size_13.txt,multi_greedy.py,3,0,0.0582048000001123,0.0582048000001123,,logs\data_size_13__multi_greedy__rep3.out.txt,logs\data_size_13__multi_greedy__rep3.err.txt
data_size_13.txt,multi_greedy.py,4,0,0.05948600000010629,0.05948600000010629,,logs\data_size_13__multi_greedy__rep4.out.txt,logs\data_size_13__multi_greedy__rep4.err.txt
data_size_13.txt,multi_greedy.py,5,0,0.06004510000002483,0.06004510000002483,,logs\data_size_13__multi_greedy__rep5.out.txt,logs\data_size_13__multi_greedy__rep5.err.txt
data_size_14.txt,local_greedy.py,1,0,1.9043768999999884,1.9043768999999884,,logs\data_size_14__local_greedy__rep1.out.txt,logs\data_size_14__local_greedy__rep1.err.txt
data_size_14.txt,local_greedy.py,2,0,1.891420399999788,1.891420399999788,,logs\data_size_14__local_greedy__rep2.out.txt,logs\data_size_14__local_greedy__rep2.err.txt
